ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology
GO:0030312,external encapsulating structure,168/2777,483/15710,0.347826086956522,1.96771617792112,10.0098360420389,4.0543085325097e-20,2.77720134476914e-17,2.53500975611659e-17,COL10A1/MMP11/COL11A1/LRRC15/MFGE8/DPT/TINAGL1/POSTN/COMP/ADAMTS5/COL6A6/MATN3/ANXA1/ADAMTS14/SFRP1/ANGPTL1/LOXL4/CLEC3B/CCN4/ITIH5/EGFL6/ANGPT1/SSPOP/MFAP4/FN1/ECM2/VIT/SPARCL1/AGRN/VWA2/TNXB/TNC/PKM/TNXB/LRRN3/FCGBP/CXCL12/PRELP/EFEMP1/LAMA4/EGFLAM/ADIPOQ/SERPINA3/F12/MUC5B/SRPX/AZGP1/SOD3/ABI3BP/DCN/MMRN1/RARRES2/MARCO/TIMP4/FGL2/COL3A1/FREM1/COL15A1/ANGPTL4/LAMB1/MATN2/GPC3/MYOC/PCSK6/GDF10/ANGPTL2/FBLN5/VWF/NDNF/COL1A1/FCGBP/BGN/MXRA7/COL21A1/A2M/MMRN2/LRIG3/SERPINF1/EGFL7/MMP13/THSD4/FGF1/COL4A5/SERPING1/GPLD1/S100A4/ADAMTS9/HPSE2/FBLN2/OGN/MMP28/FMOD/FLRT2/NPNT/ACTA2/F13A1/MFAP5/TNN/TNXB/CCDC80/CLEC14A/LAMA3/TFPI2/EMILIN2/COL25A1/LGALS1/LAMA2/ADAMTS1/VASN/COL17A1/TIMP3/TLR3/IGFALS/CLU/ANGPTL5/CD248/CMA1/COLEC12/MMP28/ECM2/ANGPT4/LGALS3/LAMA5/GPC6/COL4A2/SLPI/SRGN/LRIG1/ANXA5/GDF15/ADAMTS18/NCAM1/TNXB/COL4A1/NID1/WNT2B/ANXA6/FBLN1/CCN3/TGFB3/ADAMTSL4/CCN5/PLOD2/LAMB3/C1QA/CTSC/CSPG4/ESM1/PTPRZ1/ADAMTS13/CTSG/PKHD1L1/HDGF/F3/PRG4/LAMC1/OTOGL/LRRN2/CFP/MMP3/MMP19/GPC4/VWA1/OLFML2A/ENTPD2/WNT11/TIMP2/HMCN2,168,CC
GO:0031012,extracellular matrix,167/2777,482/15710,0.346473029045643,1.96006168034103,9.92004841412357,8.2598590629375e-20,2.82900172905609e-17,2.58229278072888e-17,COL10A1/MMP11/COL11A1/LRRC15/MFGE8/DPT/TINAGL1/POSTN/COMP/ADAMTS5/COL6A6/MATN3/ANXA1/ADAMTS14/SFRP1/ANGPTL1/LOXL4/CLEC3B/CCN4/ITIH5/EGFL6/ANGPT1/SSPOP/MFAP4/FN1/ECM2/VIT/SPARCL1/AGRN/VWA2/TNXB/TNC/PKM/TNXB/LRRN3/FCGBP/CXCL12/PRELP/EFEMP1/LAMA4/EGFLAM/ADIPOQ/SERPINA3/F12/MUC5B/SRPX/AZGP1/SOD3/ABI3BP/DCN/MMRN1/RARRES2/MARCO/TIMP4/FGL2/COL3A1/FREM1/COL15A1/ANGPTL4/LAMB1/MATN2/GPC3/MYOC/PCSK6/GDF10/ANGPTL2/FBLN5/VWF/NDNF/COL1A1/FCGBP/BGN/MXRA7/COL21A1/A2M/MMRN2/LRIG3/SERPINF1/EGFL7/MMP13/THSD4/FGF1/COL4A5/SERPING1/GPLD1/S100A4/ADAMTS9/HPSE2/FBLN2/OGN/MMP28/FMOD/FLRT2/NPNT/ACTA2/F13A1/MFAP5/TNN/TNXB/CCDC80/CLEC14A/LAMA3/TFPI2/EMILIN2/COL25A1/LGALS1/LAMA2/ADAMTS1/VASN/COL17A1/TIMP3/TLR3/IGFALS/CLU/ANGPTL5/CD248/CMA1/COLEC12/MMP28/ECM2/ANGPT4/LGALS3/LAMA5/GPC6/COL4A2/SLPI/SRGN/LRIG1/ANXA5/GDF15/ADAMTS18/NCAM1/TNXB/COL4A1/NID1/WNT2B/ANXA6/FBLN1/CCN3/TGFB3/ADAMTSL4/CCN5/PLOD2/LAMB3/C1QA/CTSC/CSPG4/ESM1/PTPRZ1/ADAMTS13/CTSG/HDGF/F3/PRG4/LAMC1/OTOGL/LRRN2/CFP/MMP3/MMP19/GPC4/VWA1/OLFML2A/ENTPD2/WNT11/TIMP2/HMCN2,167,CC
GO:0062023,collagen-containing extracellular matrix,135/2777,376/15710,0.359042553191489,2.03116979137137,9.377972299695,1.06937938633395e-17,2.44174959879585e-15,2.22881177362233e-15,COL10A1/COL11A1/LRRC15/MFGE8/DPT/TINAGL1/POSTN/COMP/ADAMTS5/COL6A6/MATN3/ANXA1/SFRP1/ANGPTL1/LOXL4/CLEC3B/ITIH5/EGFL6/ANGPT1/MFAP4/FN1/ECM2/VIT/SPARCL1/AGRN/VWA2/TNXB/TNC/PKM/TNXB/CXCL12/PRELP/EFEMP1/LAMA4/EGFLAM/ADIPOQ/SERPINA3/F12/SRPX/AZGP1/SOD3/ABI3BP/DCN/MMRN1/RARRES2/MARCO/FGL2/COL3A1/FREM1/COL15A1/ANGPTL4/LAMB1/MATN2/GPC3/MYOC/PCSK6/GDF10/ANGPTL2/FBLN5/VWF/COL1A1/BGN/MXRA7/COL21A1/A2M/MMRN2/SERPINF1/EGFL7/THSD4/COL4A5/SERPING1/S100A4/ADAMTS9/FBLN2/OGN/MMP28/FMOD/NPNT/ACTA2/F13A1/MFAP5/TNN/TNXB/CCDC80/CLEC14A/LAMA3/EMILIN2/COL25A1/LGALS1/LAMA2/ADAMTS1/COL17A1/TIMP3/CLU/ANGPTL5/CMA1/COLEC12/MMP28/ECM2/ANGPT4/LGALS3/LAMA5/GPC6/COL4A2/SLPI/ANXA5/GDF15/NCAM1/TNXB/COL4A1/NID1/WNT2B/ANXA6/FBLN1/CCN3/TGFB3/ADAMTSL4/PLOD2/LAMB3/C1QA/CTSC/CSPG4/ESM1/PTPRZ1/CTSG/HDGF/F3/PRG4/LAMC1/CFP/GPC4/VWA1/ENTPD2/TIMP2/HMCN2,135,CC
GO:0031589,cell-substrate adhesion,117/2643,360/14948,0.325,1.83810064320848,7.45992286332981,4.20847503635536e-12,2.46742891381515e-08,1.98551422241523e-08,CD36/LYVE1/POSTN/SORBS1/ITGA8/ITGA6/SFRP1/FAM107A/EGFL6/ANGPT1/ARHGAP6/APOD/FN1/ECM2/VIT/FERMT2/TYRO3/VWA2/CEACAM6/TNXB/TNXB/GPM6B/CORO2B/EGFLAM/SVEP1/PIP5K1A/EPDR1/AGR2/STON1/ABI3BP/CD34/ITGA1/FAT2/COL3A1/FREM1/CX3CL1/CDK6/LAMB1/KANK1/MYOC/FBLN5/VWF/NDNF/COL1A1/DLC1/UTRN/DDR1/ITGAX/CAMSAP3/ITGB1BP1/MICALL2/ITGA7/FZD4/NEDD9/LIMS2/ADAMTS9/FBLN2/KIF14/EPHA3/PIK3R1/NPNT/DAB2/DLC1/TNN/TNXB/ITGA9/CCDC80/ITGB1/ACVRL1/SRCIN1/KDR/CORO1C/PREX1/EMP2/COL17A1/ROCK2/VCAM1/WDPCP/CDH11/ECM2/LAMA5/JUP/CCL28/CIB1/ACTG1/VAMP3/RADIL/SDC4/DDR1/TTYH1/THSD1/SKAP1/TNXB/NID1/PEAK1/FBLN1/TLN1/NRP1/EPHB3/HOXD3/HOXA7/RRAS/GFUS/DUSP22/TTYH1/ADAMTS13/EDA/MERTK/PTEN/RSU1/JAM3/PPFIA2/LAMC1/ITGA9/ACER2/BCL6/FER,117,BP
GO:0035924,cellular response to vascular endothelial growth factor stimulus,51/2643,114/14948,0.447368421052632,2.53017902304001,7.600642786704,1.78602606159529e-11,5.23573539956659e-08,4.21314147793162e-08,XBP1/NTRK2/EGFR/EPHA4/VEGFD/ANXA1/SPRY2/FOXC1/NTRK3/DDR2/TYRO3/TNXB/TNXB/PIK3CA/ERBB2/RET/MET/DCN/ADGRA2/DDR1/FGFR3/ITGB1BP1/VEGFB/PRKD1/ERBB4/EPHA3/ROBO1/CADM4/TNXB/ITGB1/NR4A1/KDR/PDGFRA/GAS1/FLT1/MST1R/VCAM1/DDR1/FGFR4/TNXB/MAPKAPK2/ROR2/TIE1/NRP1/EPHB3/JCAD/EPHA2/MERTK/FGFR1/DAB2IP/ATP2B4,51,BP
GO:0032868,response to insulin,99/2643,297/14948,0.333333333333333,1.88523142893177,7.14144679295696,3.81176532402668e-11,7.11063349430499e-08,5.7218523517644e-08,XBP1/PDK4/NTRK2/CAV2/ACVR1C/SORBS1/PPARG/PDE3B/EGFR/KLF15/EPHA4/SLC2A4/PCK1/PFKFB1/SESN3/LEP/PID1/ADM/NTRK3/DDR2/SIK2/KAT2B/TYRO3/VWA2/EGR1/PKM/PIK3CA/FOXO1/ADIPOQ/ERBB2/GHR/TRIB3/RET/PIK3R2/RHOQ/MET/TWIST2/RARRES2/FBP1/KANK1/COL1A1/HADH/SGCB/CFLAR/DDR1/TRARG1/CAT/FGFR3/TRARG1/FOS/GPLD1/PARP1/ECHDC3/SLC25A33/TSC2/INHBB/SOCS3/ERBB4/EPHA3/PIK3R1/MTCL2/KDR/SOS1/PDGFRA/ZNF106/FLT1/HDAC9/EIF4EBP2/MST1R/CAD/ZBTB7B/KCNJ8/FOXO4/TBC1D4/DDR1/ENPP1/FGFR4/PDK2/PTPN11/ROR2/SRSF6/TIE1/SREBF1/SESN2/PIP4K2C/EGR2/PDPK1/TNS2/EPHB3/INPPL1/SMARCC1/EPHA2/MERTK/FGFR1/LPIN1/ABCC8/IRS2/HDAC5/FER,99,BP
GO:0043434,response to peptide hormone,132/2643,436/14948,0.302752293577982,1.71227441710317,6.99538699940937,4.85119119515947e-11,7.11063349430499e-08,5.7218523517644e-08,XBP1/PDK4/INHBA/CAV1/NTRK2/CAV2/ACVR1C/GJB2/SORBS1/GNAI1/PPARG/PDE3B/EGFR/KLF15/EPHA4/SLC2A4/PCK1/TFF1/CDO1/PFKFB1/SESN3/PTGS2/LEP/PID1/ADM/NTRK3/DDR2/SIK2/KAT2B/TYRO3/SOCS2/VWA2/EGR1/PKM/CXCL12/PIK3CA/FOXO1/KL/CRHBP/ADIPOQ/ERBB2/GHR/TRIB3/EDN1/EDNRB/RET/PIK3R2/RHOQ/MET/TWIST2/RARRES2/LHCGR/FBP1/COL3A1/LEPROT/KANK1/COL1A1/HADH/SGCB/CFLAR/DDR1/TRARG1/CAT/FGFR3/TRARG1/GLP2R/FOS/GPLD1/PARP1/PRKD1/ECHDC3/SLC25A33/TSC2/TGFBR3/INHBB/IGFBP5/SOCS3/MAP1B/ERBB4/EPHA3/PIK3R1/SCNN1B/MTCL2/NPR2/NR4A1/KDR/SOS1/PDGFRA/ZNF106/JAK1/CDC6/FLT1/HDAC9/EIF4EBP2/MST1R/ROCK2/ASS1/CAD/ZBTB7B/GDF15/KCNJ8/FOXO4/TBC1D4/DDR1/ENPP1/FGFR4/PDK2/PTPN11/ROR2/SRSF6/TIE1/SREBF1/SESN2/PIP4K2C/EGR2/PDPK1/TNS2/EPHB3/INPPL1/SCNN1D/SMARCC1/EPHA2/MERTK/SLC26A6/FGFR1/LPIN1/ABCC8/IRS2/NFE2L2/CCNA2/HDAC5/FER,132,BP
GO:0007423,sensory organ development,146/2643,499/14948,0.292585170340681,1.65477227629682,6.89455832280707,7.19019103058505e-11,8.1013753173526e-08,6.51909192749793e-08,COL11A1/SLC44A4/CHRDL1/INHBA/NTRK2/GJB2/EGFR/CRYAB/BMPR1B/TBX18/ITGA8/CRYBG3/EPHA4/PER1/SPRY2/TBX3/GATA3/NECTIN3/FOXC1/CEBPA/NHERF1/TPRN/KLF4/CDKN1C/SLITRK6/HPN/SOBP/MYOM1/SLC25A27/RORB/VIM/EFEMP1/TGFBR2/BMP6/AQP1/CYP26B1/BMP2/EDN1/RET/IFT140/ESRP1/RBP4/SOX12/SLC1A1/SLC44A4/ATP8B1/TSPAN12/SCRIB/MAF/SIPA1L3/TWIST1/TMOD1/EYA4/DDR1/NFIB/MITF/CDH23/MYO6/LRIG3/TFAP2A/SERPINF1/BMP5/FOS/FZD4/ROR1/VSTM4/OSR1/ZEB1/PLAAT3/RHOJ/GLI3/OSR2/GRHL2/ADAMTS9/HMGN1/MFAP5/SPRY1/ACVRL1/FSCN2/KDR/SOS1/SLC7A11/NHS/PDGFRA/MAB21L1/BBS10/ARSG/FLT1/ELMOD3/PTK7/ARHGEF15/AGTPBP1/CEBPD/TENM3/WDPCP/NES/KDM5B/FGF2/MCOLN3/TSKU/LRIG1/TCF15/MCM2/FZD3/PYGO2/SDC4/ADAMTS18/MEIS2/DDR1/ALDH1A2/DLX2/RBPJ/FZD5/SHROOM2/THRB/COL4A1/MAPKAPK2/EYA1/WNT2B/PTPN11/LEF1/PLPPR4/TGFB3/NPHP4/RARA/NRP1/HOXC13/BAX/PBX1/GRHL3/SAMD11/CITED2/ABCB5/EPHA2/MERTK/RP1L1/WHRN/FGFR1/SLC17A7/CDKN1C/ATP2B4/OTOGL/SIX4/TCIRG1/FZR1/CCNA2,146,BP
GO:0008015,blood circulation,134/2643,448/14948,0.299107142857143,1.69165855899681,6.88860926140845,8.65916639219939e-11,8.1013753173526e-08,6.51909192749793e-08,CAV1/KCNIP2/POSTN/COMP/PPARG/EGFR/TBX18/NPR1/MAP2K6/NPR3/HSPB7/AR/GSN/PLN/SGCG/FOXC1/HBB/ANGPT1/AKAP12/PTGS2/LEP/ADM/THRA/KAT2B/FERMT2/ABCC9/TRPM4/CXCL12/SCN4B/PDE2A/CACNA2D1/PIK3CA/FXYD1/CORO2B/CELF2/SCN3A/BMP6/KL/ADRA1A/ATP1B1/SVEP1/ADIPOQ/CDH5/CNR1/EDN1/EDNRB/SOD3/ZEB2/AVPR1A/SPX/ITGA1/SNTA1/ATP1A2/SLC1A1/SUCNR1/CLIC2/FAAH/TJP3/TACR1/SOD2/CACNA1D/SCN4A/PCSK5/ADD3/ITGB1BP1/OLR1/ANK2/NCALD/CLDN5/EPAS1/VEGFB/SERPING1/DSP/VSTM4/IER3/ADRA2A/SLIT2/ADH5/ADRB2/KCNJ2/HRH1/PDE3A/CYB5R3/SCNN1B/ADM2/ACTA2/OCLN/ITGA9/NPR2/ITGB1/DMD/ACVRL1/EMILIN2/TRDN/ADRB1/CASQ2/FLI1/EMP2/ABAT/ROCK2/CMA1/ENPEP/ADRA1B/KLF2/JUP/RGS2/ATP2A3/KCNK6/SLC6A4/KCNJ8/ARHGAP42/SCN9A/DES/THRB/IRX3/TJP1/RNLS/P2RY1/SREBF1/DDAH1/EDN2/SCNN1D/LNPEP/SCN11A/CTSG/CXADR/GAA/ASPH/ATP2B4/ABCC8/TJP2/BIN1/ITGA9/TBC1D8,134,BP
GO:0045765,regulation of angiogenesis,92/2643,273/14948,0.336996336996337,1.90594825782113,7.00132845884271,9.67245901781822e-11,8.1013753173526e-08,6.51909192749793e-08,XBP1/CD36/PPARG/PDE3B/NPR1/SFRP1/SPRY2/CREB3L1/FOXC1/KLF4/LEP/RGCC/ADM/PKM/ADGRB2/EFNA3/TGFBR2/TNMD/ERBB2/CDH5/AQP1/CD34/DCN/ADGRA2/CX3CL1/ANGPTL4/HSPB6/TSPAN12/PPP1R16B/TWIST1/HOXA5/ITGAX/RECK/ANXA3/SERPINF1/FGF1/CLDN5/RUNX1/FYN/VEGFB/QKI/PRKD1/RHOJ/ADAMTS9/ADM2/TNN/ITGB1/ECSCR/ACVRL1/EMILIN2/KDR/JAK1/ADAMTS1/EMP2/FLT1/RTN4/TLR3/PTGIS/ROCK2/CMA1/ANGPT4/FGF2/KLF2/COL4A2/JUP/FOXO4/RAPGEF3/ISM1/TJP1/TIE1/NRP1/ETS1/DDAH1/PDPK1/ADGRB3/C3/PAK4/RRAS/JCAD/EPHA2/LRG1/AKT3/GPNMB/F3/BTG1/DAB2IP/ATP2B4/SASH1/ABCC8/NAXE/NFE2L2/IL6,92,BP
