gene_symbol	ensembl_gene_id
ACSL6	ENSG00000164398
AFF1	ENSG00000172493
AFF3	ENSG00000144218
BRCA1	ENSG00000012048
CAMTA1	ENSG00000171735
CBFA2T3	ENSG00000129993
CCND2	ENSG00000118971
CDKN2A	ENSG00000147889
CEBPA	ENSG00000245848
CHD4	ENSG00000111642
CIITA	ENSG00000179583
CRTC3	ENSG00000140577
CTCF	ENSG00000102974
DDX6	ENSG00000110367
EGFR	ENSG00000146648
ELN	ENSG00000049540
ETV4	ENSG00000175832
FLI1	ENSG00000151702
FOXO1	ENSG00000150907
GNA11	ENSG00000088256
GNAS	ENSG00000087460
GPC3	ENSG00000147257
H3F3A	ENSG00000163041
HIF1A	ENSG00000100644
HLF	ENSG00000108924
HNF1A	ENSG00000135100
HOXC11	ENSG00000123388
HOXC13	ENSG00000123364
IL6ST	ENSG00000134352
KDR	ENSG00000128052
KDSR	ENSG00000119537
KMT2C	ENSG00000055609
SPEN	ENSG00000065526
KTN1	ENSG00000126777
LEF1	ENSG00000138795
LIFR	ENSG00000113594
LPP	ENSG00000145012
LZTR1	ENSG00000099949
MAP2K1	ENSG00000169032
MAP3K13	ENSG00000073803
MDM2	ENSG00000135679
MKL1	ENSG00000196588
MSH2	ENSG00000095002
MSH6	ENSG00000116062
MTCP1	ENSG00000214827
MYH11	ENSG00000133392
NCKIPSD	ENSG00000213672
NFIB	ENSG00000147862
PDE4DIP	ENSG00000178104
PIK3CA	ENSG00000121879
POT1	ENSG00000128513
PPFIBP1	ENSG00000110841
PPP6C	ENSG00000119414
PTPRB	ENSG00000127329
PTPRT	ENSG00000196090
RAP1GDS1	ENSG00000138698
RB1	ENSG00000139687
RECQL4	ENSG00000160957
RSPO2	ENSG00000147655
RUNX1	ENSG00000159216
STAG2	ENSG00000101972
TAL1	ENSG00000162367
TCEA1	ENSG00000187735
TCL1A	ENSG00000100721
TFEB	ENSG00000112561
TSHR	ENSG00000165409
UBR5	ENSG00000104517
VTI1A	ENSG00000151532
WT1	ENSG00000184937
XPC	ENSG00000154767
ZBTB16	ENSG00000109906
ZFHX3	ENSG00000140836
