gene_a	gene_b	string_id_a	string_id_b	combined_score	class_evidence_score	nscore	fscore	pscore	ascore	escore	dscore	tscore
BRCA1	MSH2	9606.ENSP00000418960	9606.ENSP00000233146	0.792	0.7395411887382691	0	0	0	0	0.457	0.54	0.235
BRCA1	MSH6	9606.ENSP00000418960	9606.ENSP00000234420	0.936	0.7395411887382691	0	0	0	0	0.457	0.54	0.767
CDKN2A	MDM2	9606.ENSP00000418915	9606.ENSP00000258149	0.998	0.9447340980187696	0	0	0	0	0.47	0.9	0.982
CHD4	H3F3A	9606.ENSP00000440542	9606.ENSP00000254810	0.976	0.902	0	0	0	0	0.902	0	0.765
EGFR	PIK3CA	9606.ENSP00000275493	9606.ENSP00000263967	0.899	0.718456725755996	0	0	0	0	0.55	0.4	0.657
FLI1	RUNX1	9606.ENSP00000433488	9606.ENSP00000300305	0.844	0.8123044838373306	0	0	0	0	0.1	0.8	0.206
FLI1	TAL1	9606.ENSP00000433488	9606.ENSP00000294339	0.8	0.8	0	0	0	0	0	0.8	0
GNAS	TSHR	9606.ENSP00000360141	9606.ENSP00000441235	0.934	0.9	0	0	0	0	0.9	0	0.372
IL6ST	LIFR	9606.ENSP00000370698	9606.ENSP00000398368	0.996	0.9433785192909281	0	0	0	0	0.457	0.9	0.942
MSH2	MSH6	9606.ENSP00000233146	9606.ENSP00000234420	0.999	0.997497393117831	0	0	0	0	0.976	0.9	0.987
MSH2	XPC	9606.ENSP00000233146	9606.ENSP00000285021	0.9	0.9	0	0	0	0	0	0.9	0
MSH6	XPC	9606.ENSP00000234420	9606.ENSP00000285021	0.9	0.9	0	0	0	0	0	0.9	0
MTCP1	TCL1A	9606.ENSP00000358488	9606.ENSP00000451506	0.9	0.9	0	0	0	0	0	0.9	0
RUNX1	TAL1	9606.ENSP00000300305	9606.ENSP00000294339	0.986	0.8867570385818561	0	0	0	0	0.457	0.8	0.884
