disease_id	disease_name	gene_symbol	gene_id	normalized_score	score
C0011849	Diabetes Mellitus	KCNJ11	3767	0.8709677419354839	1.35
C0011849	Diabetes Mellitus	ABCC8	6833	0.8387096774193549	1.3
C0011849	Diabetes Mellitus	GCK	2645	0.7741935483870968	1.2
C0011849	Diabetes Mellitus	HNF1A	6927	0.7741935483870968	1.2
C0011849	Diabetes Mellitus	PPARG	5468	0.7741935483870968	1.2
C0011849	Diabetes Mellitus	TCF7L2	6934	0.7741935483870968	1.2
C0011849	Diabetes Mellitus	WFS1	7466	0.7741935483870968	1.2
C0011849	Diabetes Mellitus	INS	3630	0.7419354838709676	1.15
C0011849	Diabetes Mellitus	APOE	348	0.7096774193548387	1.1
C0011849	Diabetes Mellitus	HNF1B	6928	0.7096774193548387	1.1
C0011849	Diabetes Mellitus	GIPR	2696	0.6774193548387097	1.05
C0011849	Diabetes Mellitus	IL6	3569	0.6774193548387097	1.05
C0011849	Diabetes Mellitus	INSR	3643	0.6774193548387097	1.05
C0011849	Diabetes Mellitus	ACE	1636	0.6451612903225806	1.0
C0011849	Diabetes Mellitus	SLC30A8	169026	0.6451612903225806	1.0
C0011849	Diabetes Mellitus	ADIPOQ	9370	0.6129032258064515	0.95
C0011849	Diabetes Mellitus	CDKAL1	54901	0.6129032258064515	0.95
C0011849	Diabetes Mellitus	G6PD	2539	0.6129032258064515	0.95
C0011849	Diabetes Mellitus	LEP	3952	0.6129032258064515	0.95
C0011849	Diabetes Mellitus	PTPN22	26191	0.6129032258064515	0.95
C0011849	Diabetes Mellitus	SIRT1	23411	0.6129032258064515	0.95
C0011849	Diabetes Mellitus	FN1	2335	0.5806451612903226	0.9
C0011849	Diabetes Mellitus	KCNQ1	3784	0.5806451612903226	0.9
C0011849	Diabetes Mellitus	LEPR	3953	0.5806451612903226	0.9
C0011849	Diabetes Mellitus	RAC1	5879	0.5806451612903226	0.9
C0011849	Diabetes Mellitus	TLR4	7099	0.5806451612903226	0.9
C0011849	Diabetes Mellitus	CAT	847	0.5483870967741935	0.85
C0011849	Diabetes Mellitus	CYP3A4	1576	0.5483870967741935	0.85
C0011849	Diabetes Mellitus	IRS1	3667	0.5483870967741935	0.85
C0011849	Diabetes Mellitus	POMC	5443	0.5483870967741935	0.85
C0011849	Diabetes Mellitus	PON1	5444	0.5483870967741935	0.85
C0011849	Diabetes Mellitus	PPARA	5465	0.5483870967741935	0.85
C0011849	Diabetes Mellitus	SLC19A2	10560	0.5483870967741935	0.85
C0011849	Diabetes Mellitus	SOD1	6647	0.5483870967741935	0.85
C0011849	Diabetes Mellitus	ACP1	52	0.5161290322580645	0.8
C0011849	Diabetes Mellitus	AGTR1	185	0.5161290322580645	0.8
C0011849	Diabetes Mellitus	ASIP	434	0.5161290322580645	0.8
C0011849	Diabetes Mellitus	CYP11B2	1585	0.5161290322580645	0.8
C0011849	Diabetes Mellitus	HFE	3077	0.5161290322580645	0.8
C0011849	Diabetes Mellitus	HMGCR	3156	0.5161290322580645	0.8
C0011849	Diabetes Mellitus	PTGS2	5743	0.5161290322580645	0.8
C0011849	Diabetes Mellitus	RFX6	222546	0.5161290322580645	0.8
