gene_a	gene_b	combined_score	class_evidence_score	escore	dscore
A2M	MMP2	0.908	0.7643378519290929	0.548	0.5
ABCB1	IGKV2D-29	0.9	0.9	0.9	0
ABCC8	KCNJ11	0.999	0.9763503649635036	0.919	0.72
ACAN	HAPLN1	0.973	0.7	0	0.7
ACE2	DPP4	0.996	0.9	0	0.9
ACE2	IGHV3-43D	0.9	0.9	0.9	0
ACE2	IGLL5	0.8	0.8	0.8	0
ACE2	IL2	0.9	0.9	0.9	0
ACKR1	CXCL8	0.998	0.9261730969760167	0.292	0.9
ACKR3	CXCL12	0.999	0.9687174139728885	0.9	0.7
ACKR3	CXCR4	0.99	0.946089676746611	0.483	0.9
ACKR3	IGHV3-16	0.9	0.9	0.9	0
ACTB	CDC42	0.9	0.9	0	0.9
ACTB	HCLS1	0.905	0.9	0	0.9
ACTB	ITGB1	0.957	0.9	0	0.9
ACTB	ITGB3	0.901	0.9	0	0.9
ACTB	ITGB5	0.901	0.9	0	0.9
ACTB	MSN	0.956	0.9092805005213764	0.13	0.9
ACTB	PPARG	0.9	0.9	0	0.9
ACTB	SMARCA4	0.995	0.9802919708029197	0.946	0.65
ACVR1	BMPR1A	0.998	0.9499478623566215	0.52	0.9
ACVR1	BMPR1B	0.994	0.9	0	0.9
ACVR1	HJV	0.9	0.9	0	0.9
ACVR1	NEO1	0.9	0.9	0	0.9
ACVR1	RGMA	0.9	0.9	0	0.9
ACVR1	RGMB	0.926	0.9261730969760167	0.292	0.9
ADIPOQ	ADIPOR1	0.996	0.7	0	0.7
ADIPOQ	ADIPOR2	0.996	0.7	0	0.7
ADIPOR1	ADIPOR2	0.987	0.9	0	0.9
ADORA2A	ADORA2B	0.934	0.929301355578728	0.322	0.9
ADORA2A	GNAS	0.941	0.913	0.913	0
ADORA2A	GNB1	0.911	0.911	0.911	0
ADORA2A	GNG2	0.808	0.808	0.808	0
ADORA2A	IGHV3-16	0.8	0.8	0.8	0
ADORA2A	NTRK1	0.83	0.7	0	0.7
ADRA2A	GNB1	0.964	0.9640250260688217	0.931	0.5
ADRA2A	GNG2	0.922	0.921793534932221	0.85	0.5
ADRB1	ADRB2	0.951	0.9197080291970803	0.23	0.9
ADRB1	ADRB3	0.9	0.9	0	0.9
ADRB2	ADRB3	0.923	0.9	0	0.9
ADRB2	ARRB1	0.994	0.7	0	0.7
ADRB2	ARRB2	0.997	0.8464025026068822	0.509	0.7
ADRB2	CLTC	0.716	0.7168925964546402	0.457	0.5
ADRB2	GRK2	0.823	0.7168925964546402	0.457	0.5
ADRB2	GRK6	0.716	0.7168925964546402	0.457	0.5
AGER	HMGB1	0.995	0.764859228362878	0.549	0.5
AGT	AGTR1	0.999	0.9722627737226278	0.734	0.9
AGTR1	ARRB1	0.804	0.7168925964546402	0.457	0.5
AGTR1	ARRB2	0.797	0.7168925964546402	0.457	0.5
AHR	HSP90AA1	0.912	0.9034410844629823	0.537	0.8
AHR	HSP90AB1	0.983	0.9820646506777894	0.914	0.8
AKT1	HSP90AA1	0.997	0.8869655891553702	0.458	0.8
ALB	B2M	0.933	0.9	0.9	0
ALB	FAM20C	0.716	0.7168925964546402	0.457	0.5
ALB	IGHV3-16	0.9	0.9	0.9	0
ALK	GRB2	0.899	0.7168925964546402	0.457	0.5
ALK	SHC1	0.922	0.7168925964546402	0.457	0.5
