gene_symbol	disease_modules	mapping_status	string_id	string_preferred_name
ABCB1	RA	mapped	9606.ENSP00000478255	ABCB1
ABCC2	RA	mapped	9606.ENSP00000497274	ABCC2
ABCC3	RA	mapped	9606.ENSP00000285238	ABCC3
ABCC4	RA	mapped	9606.ENSP00000494609	ABCC4
ABCC5	RA	mapped	9606.ENSP00000333926	ABCC5
ABCC8	DM	mapped	9606.ENSP00000494321	ABCC8
ABCG2	RA	mapped	9606.ENSP00000498246	ABCG2
ACAN	RA	mapped	9606.ENSP00000387356	ACAN
ACE	DM	mapped	9606.ENSP00000290866	ACE
ACKR3	RA	mapped	9606.ENSP00000272928	ACKR3
ACP1	DM	mapped	9606.ENSP00000272067	ACP1
ADIPOQ	RA;DM	mapped	9606.ENSP00000389814	ADIPOQ
ADORA2A	RA	mapped	9606.ENSP00000480012	ADORA2A
ADRB1	DM	mapped	9606.ENSP00000358301	ADRB1
ADRB3	RA	mapped	9606.ENSP00000343782	ADRB3
AFF3	RA	mapped	9606.ENSP00000386834	AFF3
AGER	RA	mapped	9606.ENSP00000364210	AGER
AGTR1	DM	mapped	9606.ENSP00000398832	AGTR1
AHR	RA	mapped	9606.ENSP00000242057	AHR
ALOX5	RA	mapped	9606.ENSP00000363512	ALOX5
ALPK1	DM	mapped	9606.ENSP00000498374	ALPK1
ANKRD55	RA	mapped	9606.ENSP00000342295	ANKRD55
ANXA3	RA	mapped	9606.ENSP00000264908	ANXA3
AOC3	DM	mapped	9606.ENSP00000312326	AOC3
AP4B1-AS1	RA	unmapped		
APOE	DM	mapped	9606.ENSP00000252486	APOE
ARID5B	RA	mapped	9606.ENSP00000279873	ARID5B
ARMC9	DM	mapped	9606.ENSP00000484804	ARMC9
ASIP	DM	mapped	9606.ENSP00000454804	ASIP
ATIC	RA	mapped	9606.ENSP00000236959	ATIC
ATP6	DM	mapped	9606.ENSP00000354632	MT-ATP6
B3GNT2	RA	mapped	9606.ENSP00000305595	B3GNT2
B3GNT9	RA	mapped	9606.ENSP00000400157	B3GNT9
BAIAP2L1	RA	mapped	9606.ENSP00000005260	BAIAP2L1
BCL2A1	RA	mapped	9606.ENSP00000267953	BCL2A1
BDKRB2	RA	mapped	9606.ENSP00000450482	BDKRB2
BGLAP	RA	mapped	9606.ENSP00000357255	BGLAP
BGN	RA	mapped	9606.ENSP00000327336	BGN
BLK	RA	mapped	9606.ENSP00000259089	BLK
BMP4	RA	mapped	9606.ENSP00000245451	BMP4
BMP6	RA	mapped	9606.ENSP00000283147	BMP6
BTNL2	RA	mapped	9606.ENSP00000390613	BTNL2
C4B	RA	mapped	9606.ENSP00000415941	C4B
CA1	RA	mapped	9606.ENSP00000430656	CA1
CA2	RA	mapped	9606.ENSP00000285379	CA2
CALD1	RA	mapped	9606.ENSP00000354826	CALD1
CAPN10	DM	mapped	9606.ENSP00000375844	CAPN10
CAST	RA	mapped	9606.ENSP00000422176	CAST
CAT	RA;DM	mapped	9606.ENSP00000241052	CAT
CAV2	RA	mapped	9606.ENSP00000222693	CAV2
CCL21	RA	mapped	9606.ENSP00000259607	CCL21
CCN1	RA	mapped	9606.ENSP00000398736	CCN1
CCN2	RA	mapped	9606.ENSP00000356954	CCN2
CCR1	RA	mapped	9606.ENSP00000296140	CCR1
CCR5	RA	mapped	9606.ENSP00000292303	CCR5
CCR6	RA	mapped	9606.ENSP00000343952	CCR6
CD2	RA	mapped	9606.ENSP00000358490	CD2
