gene	community	component	component_size	degree	composite_percentile
MSH2	1	1	4	3	0.9929577464788732
MSH6	1	1	4	3	0.9929577464788732
XPC	1	1	4	2	0.7887323943661972
BRCA1	1	1	4	2	0.7852112676056338
RUNX1	2	2	3	2	0.8327464788732395
TAL1	2	2	3	2	0.829225352112676
FLI1	2	2	3	2	0.7834507042253521
CDKN2A	3	3	2	1	0.75
MDM2	3	3	2	1	0.75
CHD4	4	4	2	1	0.75
H3F3A	4	4	2	1	0.75
EGFR	5	5	2	1	0.75
PIK3CA	5	5	2	1	0.75
GNAS	6	6	2	1	0.75
TSHR	6	6	2	1	0.75
IL6ST	7	7	2	1	0.75
LIFR	7	7	2	1	0.75
MTCP1	8	8	2	1	0.75
TCL1A	8	8	2	1	0.75
ACSL6	9	9	1	0	0.3961267605633803
AFF1	10	10	1	0	0.3961267605633803
AFF3	11	11	1	0	0.3961267605633803
CAMTA1	12	12	1	0	0.3961267605633803
CBFA2T3	13	13	1	0	0.3961267605633803
CCND2	14	14	1	0	0.3961267605633803
CEBPA	15	15	1	0	0.3961267605633803
CIITA	16	16	1	0	0.3961267605633803
CRTC3	17	17	1	0	0.3961267605633803
CTCF	18	18	1	0	0.3961267605633803
DDX6	19	19	1	0	0.3961267605633803
ELN	20	20	1	0	0.3961267605633803
ETV4	21	21	1	0	0.3961267605633803
FOXO1	22	22	1	0	0.3961267605633803
GNA11	23	23	1	0	0.3961267605633803
GPC3	24	24	1	0	0.3961267605633803
HIF1A	25	25	1	0	0.3961267605633803
HLF	26	26	1	0	0.3961267605633803
HNF1A	27	27	1	0	0.3961267605633803
HOXC11	28	28	1	0	0.3961267605633803
HOXC13	29	29	1	0	0.3961267605633803
KDR	30	30	1	0	0.3961267605633803
KDSR	31	31	1	0	0.3961267605633803
KMT2C	32	32	1	0	0.3961267605633803
KTN1	33	33	1	0	0.3961267605633803
LEF1	34	34	1	0	0.3961267605633803
LPP	35	35	1	0	0.3961267605633803
LZTR1	36	36	1	0	0.3961267605633803
MAP2K1	37	37	1	0	0.3961267605633803
MAP3K13	38	38	1	0	0.3961267605633803
MKL1	39	39	1	0	0.3961267605633803
MYH11	40	40	1	0	0.3961267605633803
NCKIPSD	41	41	1	0	0.3961267605633803
NFIB	42	42	1	0	0.3961267605633803
PDE4DIP	43	43	1	0	0.3961267605633803
POT1	44	44	1	0	0.3961267605633803
PPFIBP1	45	45	1	0	0.3961267605633803
PPP6C	46	46	1	0	0.3961267605633803
PTPRB	47	47	1	0	0.3961267605633803
PTPRT	48	48	1	0	0.3961267605633803
RAP1GDS1	49	49	1	0	0.3961267605633803
RB1	50	50	1	0	0.3961267605633803
RECQL4	51	51	1	0	0.3961267605633803
RSPO2	52	52	1	0	0.3961267605633803
SPEN	53	53	1	0	0.3961267605633803
STAG2	54	54	1	0	0.3961267605633803
TCEA1	55	55	1	0	0.3961267605633803
TFEB	56	56	1	0	0.3961267605633803
UBR5	57	57	1	0	0.3961267605633803
VTI1A	58	58	1	0	0.3961267605633803
WT1	59	59	1	0	0.3961267605633803
ZBTB16	60	60	1	0	0.3961267605633803
ZFHX3	61	61	1	0	0.3961267605633803
