gene	ensembl_gene_id	mapping_status	string_id	degree	degree_centrality	betweenness_centrality	harmonic_centrality	pagerank	degree_percentile	betweenness_percentile	harmonic_percentile	pagerank_percentile	composite_percentile	community	component	component_size	selected	selection_reason	biological_rationale
MSH2	ENSG00000095002	mapped	9606.ENSP00000233146	3	0.04225352112676056	0.00020120724346076458	0.04225352112676056	0.04491118419459078	0.9929577464788732	0.9929577464788732	0.9929577464788732	0.9929577464788732	0.9929577464788732	1	1	4	True	top composite-ranked representative of nontrivial community 1	DNA mismatch-repair gene; selected as a hub of the four-gene repair community.
MSH6	ENSG00000116062	mapped	9606.ENSP00000234420	3	0.04225352112676056	0.00020120724346076458	0.04225352112676056	0.04491118419459078	0.9929577464788732	0.9929577464788732	0.9929577464788732	0.9929577464788732	0.9929577464788732	1	1	4	True	high composite centrality rank	MSH2 partner in mismatch repair; tied for the highest composite centrality.
RUNX1	ENSG00000159216	mapped	9606.ENSP00000300305	2	0.028169014084507043	0.0	0.028169014084507043	0.03776329030169422	0.9436619718309859	0.4859154929577465	0.9295774647887324	0.971830985915493	0.8327464788732395	2	2	3	True	top composite-ranked representative of nontrivial community 2	Transcriptional regulator with cancer-gene annotation; hub of its three-gene community.
TAL1	ENSG00000162367	mapped	9606.ENSP00000294339	2	0.028169014084507043	0.0	0.028169014084507043	0.037517259374447665	0.9436619718309859	0.4859154929577465	0.9295774647887324	0.9577464788732394	0.829225352112676	2	2	3	True	high composite centrality rank	Transcription factor connected to RUNX1/FLI1 and highly ranked within that community.
CDKN2A	ENSG00000147889	mapped	9606.ENSP00000418915	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	3	3	2	True	top composite-ranked representative of nontrivial community 3	Canonical cell-cycle tumour suppressor and representative of the CDKN2A-MDM2 component.
CHD4	ENSG00000111642	mapped	9606.ENSP00000440542	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	4	4	2	True	top composite-ranked representative of nontrivial community 4	Chromatin-remodelling factor and representative of the CHD4-H3F3A component.
EGFR	ENSG00000146648	mapped	9606.ENSP00000275493	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	5	5	2	True	top composite-ranked representative of nontrivial community 5	Receptor tyrosine kinase with established relevance to breast-cancer signalling.
GNAS	ENSG00000087460	mapped	9606.ENSP00000360141	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	6	6	2	True	top composite-ranked representative of nontrivial community 6	Signal-transduction gene representing the GNAS-TSHR component.
IL6ST	ENSG00000134352	mapped	9606.ENSP00000370698	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	7	7	2	True	top composite-ranked representative of nontrivial community 7	Shared cytokine-receptor subunit representing the IL6ST-LIFR component.
MTCP1	ENSG00000214827	mapped	9606.ENSP00000358488	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	8	8	2	True	top composite-ranked representative of nontrivial community 8	Cancer-gene representative of the MTCP1-TCL1A component.
