gene	ensembl_gene_id	mapping_status	string_id	degree	degree_centrality	betweenness_centrality	harmonic_centrality	pagerank	degree_percentile	betweenness_percentile	harmonic_percentile	pagerank_percentile	composite_percentile	community	component	component_size	selected	selection_reason	biological_rationale
MSH2	ENSG00000095002	mapped	9606.ENSP00000233146	3	0.04225352112676056	0.00020120724346076458	0.04225352112676056	0.04491118419459078	0.9929577464788732	0.9929577464788732	0.9929577464788732	0.9929577464788732	0.9929577464788732	1	1	4	True	top composite-ranked representative of nontrivial community 1	DNA mismatch-repair gene; selected as a hub of the four-gene repair community.
MSH6	ENSG00000116062	mapped	9606.ENSP00000234420	3	0.04225352112676056	0.00020120724346076458	0.04225352112676056	0.04491118419459078	0.9929577464788732	0.9929577464788732	0.9929577464788732	0.9929577464788732	0.9929577464788732	1	1	4	True	high composite centrality rank	MSH2 partner in mismatch repair; tied for the highest composite centrality.
RUNX1	ENSG00000159216	mapped	9606.ENSP00000300305	2	0.028169014084507043	0.0	0.028169014084507043	0.03776329030169422	0.9436619718309859	0.4859154929577465	0.9295774647887324	0.971830985915493	0.8327464788732395	2	2	3	True	top composite-ranked representative of nontrivial community 2	Transcriptional regulator with cancer-gene annotation; hub of its three-gene community.
TAL1	ENSG00000162367	mapped	9606.ENSP00000294339	2	0.028169014084507043	0.0	0.028169014084507043	0.037517259374447665	0.9436619718309859	0.4859154929577465	0.9295774647887324	0.9577464788732394	0.829225352112676	2	2	3	True	high composite centrality rank	Transcription factor connected to RUNX1/FLI1 and highly ranked within that community.
XPC	ENSG00000154767	mapped	9606.ENSP00000285021	2	0.028169014084507043	0.0	0.035211267605633804	0.031623165127613866	0.9436619718309859	0.4859154929577465	0.9647887323943662	0.7605633802816901	0.7887323943661972	1	1	4	False		
BRCA1	ENSG00000012048	mapped	9606.ENSP00000418960	2	0.028169014084507043	0.0	0.035211267605633804	0.026977472048923763	0.9436619718309859	0.4859154929577465	0.9647887323943662	0.7464788732394366	0.7852112676056338	1	1	4	False		
FLI1	ENSG00000151702	mapped	9606.ENSP00000433488	2	0.028169014084507043	0.0	0.028169014084507043	0.03603670449814752	0.9436619718309859	0.4859154929577465	0.9295774647887324	0.7746478873239436	0.7834507042253521	2	2	3	False		
CDKN2A	ENSG00000147889	mapped	9606.ENSP00000418915	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	3	3	2	True	top composite-ranked representative of nontrivial community 3	Canonical cell-cycle tumour suppressor and representative of the CDKN2A-MDM2 component.
CHD4	ENSG00000111642	mapped	9606.ENSP00000440542	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	4	4	2	True	top composite-ranked representative of nontrivial community 4	Chromatin-remodelling factor and representative of the CHD4-H3F3A component.
EGFR	ENSG00000146648	mapped	9606.ENSP00000275493	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	5	5	2	True	top composite-ranked representative of nontrivial community 5	Receptor tyrosine kinase with established relevance to breast-cancer signalling.
GNAS	ENSG00000087460	mapped	9606.ENSP00000360141	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	6	6	2	True	top composite-ranked representative of nontrivial community 6	Signal-transduction gene representing the GNAS-TSHR component.
H3F3A	ENSG00000163041	mapped	9606.ENSP00000254810	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	4	4	2	False		
IL6ST	ENSG00000134352	mapped	9606.ENSP00000370698	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	7	7	2	True	top composite-ranked representative of nontrivial community 7	Shared cytokine-receptor subunit representing the IL6ST-LIFR component.
LIFR	ENSG00000113594	mapped	9606.ENSP00000398368	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	7	7	2	False		
MDM2	ENSG00000135679	mapped	9606.ENSP00000258149	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	3	3	2	False		
MTCP1	ENSG00000214827	mapped	9606.ENSP00000358488	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	8	8	2	True	top composite-ranked representative of nontrivial community 8	Cancer-gene representative of the MTCP1-TCL1A component.
PIK3CA	ENSG00000121879	mapped	9606.ENSP00000263967	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	5	5	2	False		
TCL1A	ENSG00000100721	mapped	9606.ENSP00000451506	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	8	8	2	False		
TSHR	ENSG00000165409	mapped	9606.ENSP00000441235	1	0.014084507042253521	0.0	0.014084507042253521	0.0371057513914298	0.823943661971831	0.4859154929577465	0.823943661971831	0.8661971830985915	0.75	6	6	2	False		
ACSL6	ENSG00000164398	mapped	9606.ENSP00000498260	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	9	9	1	False		
AFF1	ENSG00000172493	mapped	9606.ENSP00000378578	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	10	10	1	False		
AFF3	ENSG00000144218	mapped	9606.ENSP00000386834	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	11	11	1	False		
CAMTA1	ENSG00000171735	mapped	9606.ENSP00000306522	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	12	12	1	False		
CBFA2T3	ENSG00000129993	mapped	9606.ENSP00000268679	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	13	13	1	False		
CCND2	ENSG00000118971	mapped	9606.ENSP00000261254	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	14	14	1	False		
CEBPA	ENSG00000245848	mapped	9606.ENSP00000427514	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	15	15	1	False		
CIITA	ENSG00000179583	mapped	9606.ENSP00000485010	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	16	16	1	False		
CRTC3	ENSG00000140577	mapped	9606.ENSP00000268184	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	17	17	1	False		
CTCF	ENSG00000102974	mapped	9606.ENSP00000494538	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	18	18	1	False		
DDX6	ENSG00000110367	mapped	9606.ENSP00000478754	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	19	19	1	False		
ELN	ENSG00000049540	mapped	9606.ENSP00000351807	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	20	20	1	False		
ETV4	ENSG00000175832	mapped	9606.ENSP00000321835	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	21	21	1	False		
FOXO1	ENSG00000150907	mapped	9606.ENSP00000368880	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	22	22	1	False		
GNA11	ENSG00000088256	mapped	9606.ENSP00000078429	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	23	23	1	False		
GPC3	ENSG00000147257	mapped	9606.ENSP00000377836	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	24	24	1	False		
HIF1A	ENSG00000100644	mapped	9606.ENSP00000437955	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	25	25	1	False		
HLF	ENSG00000108924	mapped	9606.ENSP00000226067	0	0.0	0.0	0.0	0.0055658627087327136	0.36619718309859156	0.4859154929577465	0.36619718309859156	0.36619718309859156	0.3961267605633803	26	26	1	False		
